NCT_Number,Study_Title,Study_Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder_Type,Study_Type,Study_Design,Start_Date,Primary_Completion_Date,Completion_Date,First_Posted,Last_Update_Posted,Locations
NCT00162175,PPAR-COMBO With Sulfonylurea,COMPLETED,Metabolics Diabetes Nos,DRUG: Muraglitazar,Bristol-Myers Squibb,,ALL,"ADULT, OLDER_ADULT",PHASE3,534,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE | Primary Purpose: TREATMENT,2003-07,2005-11,2005-11,13-09-2005,14-09-2010,"Local Institution, Anniston, Alabama, United States|Local Institution, Hoover, Alabama, United States|Local Institution, Huntsville, Alabama, United States|Local Institution, Mobile, Alabama, United States|Local Institution, Mesa, Arizona, United States|Local Institution, Phoenix, Arizona, United States|Local Institution, Tucson, Arizona, United States|Local Institution, Little Rock, Arkansas, United States|Local Institution, Encinitas, California, United States|Local Institution, Long Beach, California, United States|Local Institution, Los Angeles, California, United States|Local Institution, Mission Viejo, California, United States|Local Institution, Pasadena, California, United States|Local Institution, San Diego, California, United States|Local Institution, Walnut Creek, California, United States|Local Institution, Westlake Village, California, United States|Local Institution, Colorado Springs, Colorado, United States|Local Institution, Denver, Colorado, United States|Local Institution, Loveland, Colorado, United States|Local Institution, Wheat Ridge, Colorado, United States|Local Institution, Chipley, Florida, United States|Local Institution, Miami, Florida, United States|Local Institution, New Port Richey, Florida, United States|Local Institution, Pinellas Park, Florida, United States|Local Institution, Vero Beach, Florida, United States|Local Institution, Winter Park, Florida, United States|Local Institution, Dunwoody, Georgia, United States|Local Institution, Chicago, Illinois, United States|Local Institution, Overland Park, Kansas, United States|Local Institution, Lexington, Kentucky, United States|Local Institution, Slidell, Louisiana, United States|Local Institution, Chester, Maryland, United States|Local Institution, Silver Springs, Maryland, United States|Local Institution, Springfield, Massachusetts, United States|Local Institution, Berkley, Michigan, United States|Local Institution, Detroit, Michigan, United States|Local Institution, Arden Hills, Minnesota, United States|Local Institution, Gulfport, Mississippi, United States|Local Institution, Excelsior Springs, Missouri, United States|Local Institution, Kansas City, Missouri, United States|Local Institution, St Louis, Missouri, United States|Local Institution, East Syracuse, New York, United States|Local Institution, Charlotte, North Carolina, United States|Local Institution, Greensboro, North Carolina, United States|Local Institution, Hickory, North Carolina, United States|Local Institution, Huntersville, North Carolina, United States|Local Institution, Morehead City, North Carolina, United States|Local Institution, Wilmington, North Carolina, United States|Local Institution, Cincinnati, Ohio, United States|Local Institution, Oklahoma City, Oklahoma, United States|Local Institution, Tulsa, Oklahoma, United States|Local Institution, Corvallis, Oregon, United States|Local Institution, Eugene, Oregon, United States|Local Institution, Portland, Oregon, United States|Local Institution, Altoona, Pennsylvania, United States|Local Institution, Philadelphia, Pennsylvania, United States|Local Institution, Cranston, Rhode Island, United States|Local Institution, Anderson, South Carolina, United States|Local Institution, Duncan, South Carolina, United States|Local Institution, Simpsonville, South Carolina, United States|Local Institution, Summerville, South Carolina, United States|Local Institution, Bristol, Tennessee, United States|Local Institution, Kingsport, Tennessee, United States|Local Institution, Knoxville, Tennessee, United States|Local Institution, Memphis, Tennessee, United States|Local Institution, Dallas, Texas, United States|Local Institution, Houston, Texas, United States|Local Institution, Irving, Texas, United States|Local Institution, Lake Jackson, Texas, United States|Local Institution, San Antonio, Texas, United States|Local Institution, The Colony, Texas, United States|Local Institution, Olympia, Washington, United States|Local Institution, Bluefield, West Virginia, United States|Local Institution, Marshfield, Wisconsin, United States|Local Institution, Bahía Blanca, Buenas Aires, Argentina|Local Institution, Buenos Aires, Buenos Aires, Argentina|Local Institution, Capital Federal, Buenos Aires, Argentina|Local Institution, Córdoba, Córdoba Province, Argentina|Local Institution, Mendoza, Mendoza Province, Argentina|Local Institution, Canberra, New South Wales, Australia|Local Institution, Wollongong, New South Wales, Australia|Local Institution, Brisbane, Queensland, Australia|Local Institution, Curitiba, Paraná, Brazil|Local Institution, Belém, Pará, Brazil|Local Institution, Porto Alegre, Rio Grande do Sul, Brazil|Local Institution, Marília, São Paulo, Brazil|Local Institution, Corunna, Ontario, Canada|Local Institution, Hawksbury, Ontario, Canada|Local Institution, Sarnia, Ontario, Canada|Local Institution, Gatineau, Quebec, Canada|Local Institution, Laval, Quebec, Canada|Local Institution, Saint-Jérôme, Quebec, Canada|Local Institution, St. John's, Canada|Local Institution, Rosiers, D'Egletons, France|Local Institution, Labarthe, Sur Leze, France|Local Institution, Husseren-Wesserling, Wesserling, France|Local Institution, Broglie, France|Local Institution, Chartres, France|Local Institution, Gémenos, France|Local Institution, Viernheim, Schwenningen, Germany|Local Institution, Dresden, Germany|Local Institution, Hamburg, Germany|Local Institution, Nuremberg, Germany|Local Institution, Ravenna, Italy|Local Institution, Durango, Durango, Mexico|Local Institution, Tijuana, Estado de Baja California, Mexico|Local Institution, León, Guanajuato, Mexico|Local Institution, Mexico City, Mexico City, Mexico|Local Institution, Alburquerque, New Mexico, Mexico|Local Institution, Monterrey, Nuevo León, Mexico|Local Institution, Mérida, Yucatán, Mexico|Local Institution, Deurne, Netherlands|Local Institution, Ewyk, Netherlands|Local Institution, Hoogvliet, Netherlands|Local Institution, Rijswijk, Netherlands|Local Institution, The Hague, Netherlands|Local Institution, Zwijndrecht, Netherlands|Local Institution, Arequipa, Arequipa, Peru|Local Institution, Lima, Lima Province, Peru|Local Institution, Carolina, Puerto Rico|Local Institution, Guaynabo, Puerto Rico|Local Institution, Ponce, Puerto Rico|Local Institution, Rio Piedras, Puerto Rico|Local Institution, Moscow, Russia|Local Institution, Saint Petersburg, Russia|Local Institution, Saratov, Russia|Local Institution, Smolensk, Russia|Local Institution, Santiago, De Compostela, Spain|Local Institution, Las Palmas, DE, Spain|Local Institution, A Coruña, Spain|Local Institution, Alicante, Spain|Local Institution, Cadiz, Spain|Local Institution, Granada, Spain|Local Institution, Madrid, Spain|Local Institution, Oviedo, Spain|Local Institution, Santa Cruz de Tenerife, Spain|Local Institution, Teruel, Spain|Local Institution, Zaragoza, Spain|Local Institution, Soham, Cambridgeshire, United Kingdom|Local Institution, Bexhill-on-Sea, East Sussex, United Kingdom|Local Institution, Sunbury-on-Thames, Greater London, United Kingdom|Local Institution, Aldershot, Hampshire, United Kingdom|Local Institution, Glasgow, Lanarkshire, United Kingdom|Local Institution, Blackpool, Lancashire, United Kingdom|Local Institution, Harrow, Middlesex, United Kingdom|Local Institution, Hastings, Sussex, United Kingdom|Local Institution, Bath, Wiltshire, United Kingdom|Local Institution, Inkberrow, Worcestershire, United Kingdom|Local Institution, Swan Lane, United Kingdom"
NCT06542874,A Research Study Comparing How Well Different Doses of the Medicine NNC0487-0111 Lower Blood Sugar in People With Type 2 Diabetes,COMPLETED,Type 2 Diabetes (T2D),DRUG: NNC0487-0111 subcutanous|DRUG: Placebo (NNC0487-0111 subcutanous)|DRUG: NNC0487-0111 oral|DRUG: Placebo (NNC0487-0111 oral),Novo Nordisk A/S,,ALL,"ADULT, OLDER_ADULT",PHASE2,448,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",07-08-2024,01-10-2025,24-10-2025,07-08-2024,29-12-2025,"Southern Cal Clinical Research, Santa Ana, California, 92701, United States|Chase Medical Research LLC, Waterbury, Connecticut, 06708, United States|Fleming Island Ctr for Clin Res, Fleming Island, Florida, 32003, United States|Encore Medical Research LLC, Hollywood, Florida, 33024, United States|South Broward Research LLC, Miramar, Florida, 33027, United States|Florida Inst For Clin Res, Orlando, Florida, 32825, United States|Cedar-Crosse Research Center, Chicago, Illinois, 60607, United States|Advanced Internal Medicine, PLLC, Paducah, Kentucky, 42001, United States|Medstar Research Institute_Hyattsville, Hyattsville, Maryland, 20782, United States|MD Medical Research, Oxon Hill, Maryland, 20745, United States|Arcturus HC PLC Troy Med Res, Troy, Michigan, 48098, United States|Arcturus Healthcare, PLC, Troy, Michigan, 48098, United States|Clinical Research Professionals, Chesterfield, Missouri, 63005, United States|AMC Community Endocrinology, Albany, New York, 12203, United States|Lucas Research Inc., Morehead City, North Carolina, 28557, United States|Piedmont Healthcare/Research, Statesville, North Carolina, 28625, United States|Plains Clinical Research Center, LLC_Fargo, Fargo, North Dakota, 58104, United States|Preferred Primary Care Physicians_Pittsburgh, Pittsburgh, Pennsylvania, 15236, United States|Health Concepts, Rapid City, South Dakota, 57702, United States|Clinical Research Associates, Nashville, Tennessee, 37203, United States|MidState Endocrine Associates, Nashville, Tennessee, 37203, United States|Velocity Clinical Res-Dallas, Dallas, Texas, 75230, United States|Victorium Clinical Research, Houston, Texas, 77024, United States|Synergy Groups Medical, Houston, Texas, 77061, United States|PlanIt Research, PLLC, Houston, Texas, 77079, United States|Radiance Clinical Research, Lampasas, Texas, 76550, United States|Tekton Research, McKinney, Texas, 75069, United States|Hillcrest Family Health Center, Waco, Texas, 76708, United States|Individual Practice For Specialized Outpatient Medical Care Doctor Miglena Rizova Ltd., Kyustendil, 2500, Bulgaria|IPSOMC Dr. Miglena Rizova Ltd., Kyustendil, 2500, Bulgaria|UMHAT ""Kaspela"", Depart. Endocrinology and Metab. Diseases, Plovdiv, 4001, Bulgaria|UMHAT Kaspela EOOD, Endocrinology and Metabolic Diseases Clinic, Plovdiv, 4001, Bulgaria|DCC Sveti Georgi EOOD, Plovdiv, 4002, Bulgaria|Diagnostic-Consultative Centre ""Sveti Georgi"" Eood, Plovdiv, 4002, Bulgaria|Medical centre Regina Life Clinic EOOD, Sofia, 1000, Bulgaria|UMHAT ""Aleksandrovska"", Sofia, 1431, Bulgaria|USHATE ""Akad. Ivan Penchev"" Second Clinic of Endocrinology, Sofia, 1431, Bulgaria|USHATE Akad. Ivan Penchev EAD, Second Clinic of Endocrinology, Sofia, 1431, Bulgaria|AIPSMC Dr. Artin Magardichyan EOOD, Varna, 9020, Bulgaria|Poliklinika Solmed, Zagreb, City of Zagreb, 10000, Croatia|Clinical Hospital Centre Rijeka_Endocrinology, Rijeka, Primorje-Gorski Kotar County, 51 000, Croatia|KBC Rijeka, Endokrinologija, Rijeka, Primorje-Gorski Kotar County, 51 000, Croatia|Opca bolnica Karlovac, Karlovac, 47000, Croatia|Specijalna bolnica Krapinske Toplice - Endokrinologija, Krapinske Toplice, 49217, Croatia|Specijalna Bolnica za medicinsku rehabilitaciju Krapinske Toplice_Endocrinology, Krapinske Toplice, 49217, Croatia|Klinicki bolnicki centar Osijek_Endocrinology, Osijek, 31 000, Croatia|Klinicki bolnicki centar Osijek, Osijek, 31 000, Croatia|Opca bolnica Varazdin_Endocrinology, Varaždin, 42 000, Croatia|Opca bolnica Varazdin, Varaždin, 42 000, Croatia|Zentrum fuer klinische Studien Suedbrandenburg GmbH, Elsterwerda, 04910, Germany|InnoDiab Forschung GmbH, Essen, 45136, Germany|Wendisch/Dahl Hamburg (DZHW), Hamburg, 22607, Germany|Wendisch/Dahl Hamburg, Hamburg, 22607, Germany|Institut für Diabetesforschung GmbH Münster - Dr. med. Rose, Münster, 48145, Germany|RED-Institut für medizinische Forschung und Fortbildung GmbH, Oldenburg in Holstein, 23758, Germany|Iatriko Psychicou Private Clinic, Athens, 115 25, Greece|U.G.H of Athens ""Attikon"", Athens, 12462, Greece|""Laiko"" General Hospital of Athens, Goudi/Athens, 11527, Greece|EUROMEDICA Gen Clinic The/ki, Endocrin,Metabolism,Diabetes, Thessaloniki, 54645, Greece|424 Military General Training Hospital - 2nd Department of Internal Medicine, Thessaloniki, 564 29, Greece|424 Military General Training Hospital, Thessaloniki, 564 29, Greece|""Thermi"" Private Hosital, Thessaloniki, 57001, Greece|EUROMEDICA Gen Clinic The/ki, Endocrin,Metabolism,Diabetes, Thessaloniki, GR-54643, Greece|""Thermi"" Private Hosital, Thessaloniki, GR-57001, Greece|Debreceni Egyetem, Debrecen, Hajdú-Bihar, 4032, Hungary|Bajcsy-Zsilinszky Kórház, Budapest, 1106, Hungary|MH Egészségügyi Központ, Budapest, 1134, Hungary|Debreceni Egyetem, Debrecen, 4031, Hungary|Debreceni Egyetem, Debrecen, H-4031, Hungary|Debreceni Egyetem, Debrecen, H-4032, Hungary|Békés Megyei Központi Kórház, Gyula, 5700, Hungary|Somogy Vármegyei Kaposi Mór Oktató Kórház, Kaposvár, 7400, Hungary|Somogy Vármegyei Kaposi Mór Oktató Kórház, Kaposvár, H-7400, Hungary|Heiwadai Hospital_Internal Medicine, Miyazaki, Miyazaki, 880-0034, Japan|Heiwadai Hospital, Miyazaki, Miyazaki, 880-0034, Japan|TOSAKI Clinic for Diabetes and Endocrinology_Diabetes and Endocrinology, Aichi, 468-0009, Japan|Tokuyama clinic_Diabetic internal medicine, Chiba, 261-0004, Japan|Tokuyama clinic, Chiba, 261-0004, Japan|Akaicho Clinic, Chiba-shi, Chiba, 260-0804, Japan|Naka Kinen Clinic_Internal medicine, Ibaraki, 311-0113, Japan|Naka Kinen Clinic, Ibaraki, 311-0113, Japan|Tokyo-Eki Center-building Clinic_Internal Medicine, Tokyo, 103-0027, Japan|Tokyo-Eki Center-building Clinic, Tokyo, 103-0027, Japan|Fukuwa Clinic_Internal Medicine, Tokyo, 104-0031, Japan|Fukuwa Clinic, Tokyo, 104-0031, Japan|Med. Cent. Diabet. Endo. Metabol. DIAB-ENDO-MET, Krakow, Lesser Poland Voivodeship, 31-261, Poland|Formed 2 Sp. z o.o., Oświęcim, Lesser Poland Voivodeship, 32-600, Poland|Beata Miklaszewicz & Dariusz Dabrowski ""CARDIAMED"" s.j., Legnica, Lower Silesian Voivodeship, 59-220, Poland|Beata Mikłaszewicz & Dariusz Dąbrowski ""CARDIAMED"" s.j., Legnica, Lower Silesian Voivodeship, 59-220, Poland|EKAMED sp. z o.o., Lublin, Lublin Voivodeship, 20-718, Poland|ETG Siedlce, Siedlce, Masovian Voivodeship, 08-110, Poland|Specderm Poznanska Sp. j., Bialystok, Podlaskie Voivodeship, 15-375, Poland|NZOZ Vita-Diabetica Malgorzata Buraczyk, Bialystok, Podlaskie Voivodeship, 15-879, Poland|Specderm Poznańska Spółka Jawna, Bialystok, 15-375, Poland|EKAMED sp. z o.o., Lublin, 20-718, Poland|Niepubliczny Zaklad Opieki Zdrowotnej Przychodnia Specjalistyczna A Wittek H Rudzki Sp. j., Ruda Śląska, 41-709, Poland|PANSTWOWY INSTYTUT MEDYCZNY MSWiA, Warsaw, 02-507, Poland|Santa Sp. z o.o, Santa Familia Centrum Badan, Profilaktyki i Leczenia, Lodz, Łódź Voivodeship, 90-302, Poland|SC Grand Med SRL, Oradea, Bihor County, 410025, Romania|Institutul National De Diabet Nutritie Si Boli Metabolice Prof.Dr.N.Paulescu Bucuresti- Ion Movila, Bucharest, Bucurestii, 020475, Romania|Spitalul Clinic Judetean Urgenta Cluj-Napoca, Cluj-Napoca, Cluj, 400006, Romania|Sc Mediab Srl, Târgu Mureş, Mureș County, 540142, Romania|Novus Medical Clinica SRL, Ploieşti, Prahova, 100018, Romania|Mariodiab Clinic SRL, Brasov, 500101, Romania|Cabinet Medical Dr Geru SRL, Timișoara, 300288, Romania|Spitalul Clinic Judetean De Urgenta Pius Brinzeu Timisoara, Timișoara, 300723, Romania|Peter Farkas MD, s.r.o., Šahy, Slovak Republic, 93601, Slovakia|DENTAVIA s.r.o., Poprad, 05801, Slovakia|DIABETOL, s.r.o., Prešov, 080 01, Slovakia|OLIVER - MED s.r.o., Rimavská Sobota, 979 01, Slovakia|MEDIVASA, s.r.o., Diabetologicka ambulancia, Žilina, 010 01, Slovakia|Complejo Hospitalario Universitario A Coruña, A Coruña, 15006, Spain|Hospital Clinic i Provincial, Barcelona, 08036, Spain|Hospital Gregorio Marañón, Madrid, 28007, Spain|Hospital Universitario Marqués de Valdecilla, Santander, 39008, Spain|Clínica Nuevas Tecnologías en Diabetes y Endocrinología, Seville, 41003, Spain|Hospital Infanta Luisa, Seville, 41010, Spain|Hospital Nisa Sevilla Aljarafe, Seville, 41950, Spain|Hospital Vithas Sevilla, Seville, 41950, Spain"
NCT01194258,Safety/Efficacy Study of Subcutaneously Injected Prandial Insulins Compared to Insulin Lispro Alone in Patients With Type 2 Diabetes Mellitus,COMPLETED,"Diabetes Mellitus, Type II",DRUG: Insulin lispro|DRUG: Insulin aspart|DRUG: Recombinant human hyaluronidase PH20|DRUG: Insulin glulisine|DRUG: Insulin glargine,Halozyme Therapeutics,,ALL,"ADULT, OLDER_ADULT",PHASE2,132,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: CROSSOVER | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",2010-08,2011-08,2011-08,02-09-2010,20-08-2014,"John Muir Physician Network Clinical Research Center, Concord, California, 94520, United States|Medical Group of Encino, Encino, California, 91436, United States|AMCR Institute, Inc., Escondido, California, 92026, United States|Marin Endocrine Care and Research, Greenbrae, California, 94904, United States|Mills-Peninsula Health Services, San Mateo, California, 94401, United States|Center for Diabetes and Endocrine Care, Hollywood, Florida, 33021, United States|Diabetes Research Institute, Miami, Florida, 33136, United States|Baptist Diabetes Associates, Miami, Florida, 33156, United States|Rocky Mountain Diabetes and Osteoporosis Center, Idaho Falls, Idaho, 83404, United States|Mid-America Diabetes Associates, Wichita, Kansas, 67211, United States|Tulane University Health Sciences Center, New Orleans, Louisiana, 70112, United States|Medstar Research Institute, Hyattsville, Maryland, 20782, United States|Henry Ford Health System, Detroit, Michigan, 48202, United States|International Diabetes Center, Minneapolis, Minnesota, 55416, United States|Mercury Street Medical, Butte, Montana, 59701, United States|Desert Endocrinology, Henderson, Nevada, 89052, United States|Diabetes and Endocrinology Associates, PC, Rudd, North Carolina, 28557, United States|UT Southwestern Medical Center at Dallas, Dallas, Texas, 75390, United States|Texas Diabetes and Endocrinology, Round Rock, Texas, 78681, United States|Cetero Research-San Antonio, San Antonio, Texas, 78229, United States|West Olympia Internal Medicine, Olympia, Washington, 98502, United States|University of Washington School of Medicine, Seattle, Washington, 98105, United States"
NCT02946632,"Effectiveness & Tolerability of Novel, Initial Triple Combination Therapy vs Conventional Therapy in Type 2 Diabetes",UNKNOWN,"Diabetes Mellitus, Type II",DRUG: triple combination therapy|DRUG: Stepwise add-on therapy,Korea University Anam Hospital,AstraZeneca,ALL,"ADULT, OLDER_ADULT",PHASE3,104,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2016-12,2019-12,2019-12,27-10-2016,27-10-2016,"Korea University Anam Hospital, Seoul, South Korea"
NCT00081328,Treatment Options for Type 2 Diabetes in Adolescents and Youth (TODAY),COMPLETED,"Diabetes Mellitus, Type II",DRUG: Metformin|DRUG: Rosiglitazone|BEHAVIORAL: Lifestyle Program,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,ALL,CHILD,PHASE3,699,NIH,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",2004-05,2011-02,2014-02,12-04-2004,30-07-2021,"Children's Hospital Los Angeles, Los Angeles, California, 90027, United States|University of Colorado Health Sciences Center, The Children's Hospital, Denver, Colorado, 80262, United States|Yale University, New Haven, Connecticut, 06520, United States|George Washington University Biostatistics Center, Rockville, Maryland, 20852, United States|Massachusetts General Hospital Diabetes Center, Boston, Massachusetts, 02114, United States|Joslin Diabetes Center, Boston, Massachusetts, 02215, United States|Saint Louis University Health Sciences Center, St Louis, Missouri, 63104, United States|Washington University Department of Pediatrics, St Louis, Missouri, 63110, United States|Columbia University Medical Center, New York, New York, 10032, United States|State University of New York Upstate Medical University, Syracuse, New York, 13210, United States|Case Western Reserve, Cleveland, Ohio, 44106, United States|University of Oklahoma, Oklahoma City, Oklahoma, 93104, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, 15213, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, 78229, United States"
NCT00660790,Multifactorial Treatment of Cardiovascular Risk in Diabetic Patients: Identification of Treatment Non-Responders,COMPLETED,"Diabetes Mellitus, Type II",OTHER: Intensified Treatment of risk factors,Medical University of Graz,,ALL,"ADULT, OLDER_ADULT",,97,OTHER,OBSERVATIONAL,Observational Model: COHORT | Time Perspective: PROSPECTIVE,2008-04,2012-07,2012-07,17-04-2008,19-03-2021,"Department of Internal Medicine, Medical University of Graz, Graz, 8036, Austria"
NCT01654120,Study of Effectiveness of Liraglutide Added to High Dose Insulin in Type II Diabetics,COMPLETED,"Diabetes Mellitus, Type II",DRUG: Liraglutide|DRUG: Insulin,Mountain Diabetes and Endocrine Center,,ALL,"ADULT, OLDER_ADULT",PHASE4,37,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: CROSSOVER | Masking: NONE | Primary Purpose: TREATMENT,2011-12,2013-11,2013-11,31-07-2012,25-02-2021,"Mountain Diabetes and Endocrine Center, Asheville, North Carolina, 28803, United States"
NCT01596244,Jordan Diabetes Microclinic Project,COMPLETED,"Diabetes Mellitus, Type II",BEHAVIORAL: Microclinic,Microclinic International,"Ministry of Health Jordan|Royal Health Awareness Society (RHAS), Jordan",ALL,"ADULT, OLDER_ADULT",NA,2400,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,2008-04,2011-04,2012-08,10-05-2012,08-11-2012,"Ein El-Basha Ministry of Health Center, Amman, Jordan|Jabl Nasr Ministry of Health Center, Amman, Jordan"
NCT02988427,Measuring Patient Engagement in Diabetes Care,WITHDRAWN,"Diabetes Mellitus, Type II",,Northwestern University,University of North Carolina,ALL,"ADULT, OLDER_ADULT",,0,OTHER,OBSERVATIONAL,Observational Model: CASE_CONTROL | Time Perspective: CROSS_SECTIONAL,2016-12,2016-12,2016-12,09-12-2016,15-03-2017,
NCT07365358,Evaluate the Efficacy and Safety of Empagliflozin or Glimepiride Combination Therapy in Type 2 Diabetes Mellitus Patients,NOT_YET_RECRUITING,Diabete Type 2,DRUG: empagliflozin 10mg|DRUG: Glimepiride 1mg,Chong Kun Dang Pharmaceutical,,ALL,"ADULT, OLDER_ADULT",PHASE4,200,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2026-03,2027-08,2027-08,26-01-2026,26-01-2026,"Kyung Hee University Hospital at Gangdong, Seoul, South Korea"
NCT07195188,Game-Based Education and Treatment Adherence in Type 2 Diabetes,COMPLETED,Type 2 Diabetes|Diabete Mellitus,"BEHAVIORAL: ""Let's Learn Diabetes"" Game-Based Education|BEHAVIORAL: Traditional Diabetes Education",Izmir Tinaztepe University,Usak State Hospital,ALL,"ADULT, OLDER_ADULT",NA,72,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: SUPPORTIVE_CARE,05-04-2024,03-05-2024,30-11-2024,26-09-2025,26-09-2025,"Uşak Eğitim Ve Araştırma Hastanesi, Uşak, Turkey (Türkiye)"
NCT02985242,Empagliflozin Reduces Progression of Diabetic Retinopathy in Patients With High Risk of Diabetic Macular Edema,TERMINATED,"Diabetes Mellitus, Type II",DRUG: Empagliflozin|DRUG: Glimepiride|DRUG: Empagliflozin placebo|DRUG: Glimepiride placebo,Hannover Medical School,,ALL,"ADULT, OLDER_ADULT",PHASE4,6,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",12-06-2017,01-08-2018,16-08-2018,07-12-2016,27-09-2018,"Hannover Medical School, University Eye Hospital and CRC Core Facility Hannover, Hanover, Lower Saxony, 30625, Germany"
NCT00563225,20 Week Bridging Study in Type II DM,COMPLETED,Diabetes Mellitus Type II,DRUG: Insulin Glargine,Sanofi,,ALL,"ADULT, OLDER_ADULT",PHASE3,90,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,2002-10,,2004-04,26-11-2007,26-11-2007,
